"","V1"
"0001604778-15-000051_Risk.txt",5
"0001604778-16-000175_Risk.txt",5
"0001604778-17-000031_Business.txt",2
"0001604778-17-000031_Risk.txt",5
"0001604778-18-000023_Business.txt",2
"0001604778-18-000023_Risk.txt",5
"0001604778-19-000031_Business.txt",2
"0001604778-19-000031_Risk.txt",5
"0001604778-20-000030_Business.txt",2
"0001604778-20-000030_Risk.txt",5
