"","V1"
"Youtube Corpus_mNpqbNgmPE.txt",4
"Youtube Corpus2e-J98t2mT4.txt",1
"Youtube Corpus2QjvX1WjvG8.txt",1
"Youtube Corpus3EK4VRmG3yM.txt",3
"Youtube Corpus3lijFkFJAHQ.txt",3
"Youtube Corpus3XaOeLPztN4.txt",5
"Youtube Corpus4ipIsEulr5o.txt",5
"Youtube Corpus6sImhgU4o3E.txt",5
"Youtube Corpus76hJY_CFNEk.txt",4
"Youtube Corpus8Drd5OjTUTo.txt",1
"Youtube Corpus8JkZ55np3z8.txt",5
"Youtube Corpus9Vs40kNivxY.txt",4
"Youtube CorpusA_Aw1auPWe0.txt",5
"Youtube CorpusaHyNYfFfXlg.txt",5
"Youtube CorpusanLkqccD1oo.txt",5
"Youtube CorpusazjLWAQ02L8.txt",2
"Youtube CorpusbeTd8RW0ozg.txt",3
"Youtube CorpusBhBn79QKJQE.txt",3
"Youtube CorpusbjNVo2eo-QI.txt",5
"Youtube CorpusBouKA5YppTc.txt",5
"Youtube CorpusBvAv3KKJjF4.txt",5
"Youtube CorpuscECOy5tqRyw.txt",5
"Youtube CorpusCJKjyyJsgK8.txt",5
"Youtube CorpusCk2gRjj6_2w.txt",5
"Youtube CorpuscrkVNLgPPV0.txt",5
"Youtube CorpusdieoJM4KlJM.txt",1
"Youtube CorpusdiIhsw8_V0U.txt",1
"Youtube CorpusE8vi_PdGrKg.txt",5
"Youtube Corpusek4R6lFGFug.txt",5
"Youtube CorpusEl-40fuhbTA.txt",1
"Youtube CorpusEY8Y08NzXEw.txt",1
"Youtube CorpusFoIOFEp2HiY.txt",1
"Youtube CorpusFYGd16tqs58.txt",5
"Youtube CorpusGaX_8DiVV1U.txt",1
"Youtube CorpusGJit-HNv4Ec.txt",5
"Youtube CorpusGpVQKPJHAHY.txt",1
"Youtube CorpusgW2gb21bBQw.txt",4
"Youtube Corpush8jsKwAuoZ0.txt",5
"Youtube CorpushjHVMcUMeQs.txt",1
"Youtube CorpusHWO7AshgPFI.txt",1
"Youtube Corpusi1dGQiNfCAc.txt",5
"Youtube CorpusiKPYpMCtckY.txt",5
"Youtube CorpusinwSrNv2Dic.txt",5
"Youtube CorpusJ0GJI8_REt4.txt",1
"Youtube Corpusj41g1VeOHW8.txt",5
"Youtube Corpusj5OYgBputvs.txt",5
"Youtube CorpusjEs9PzHc9ho.txt",5
"Youtube Corpusk7ja4-DSkyU.txt",5
"Youtube CorpuskFZHob0T5U8.txt",1
"Youtube Corpuskj8obRW13bo.txt",5
"Youtube CorpusKUUleHJcZPw.txt",5
"Youtube CorpuslK7fK6WNBbM.txt",4
"Youtube CorpuslLjbOoF8o0M.txt",3
"Youtube CorpusLMmB5VK0nQo.txt",1
"Youtube CorpusLOa273lNdWo.txt",5
