"","x"
"absolut",19
"autonomi",19
"byton",19
"camera",19
"conver",19
"dollar",19
"effect",19
"everyon",19
"featur",19
"forc",19
"money",19
"month",19
"near",19
"steer",19
"togeth",19
"top",19
"boat",18
"enabl",18
"free",18
"hit",18
"hous",18
"instead",18
"job",18
"love",18
"mode",18
"pay",18
"pictur",18
"polit",18
"pretti",18
"risk",18
"rotor",18
"seat",18
"sit",18
"sometim",18
"team",18
"thousand",18
"trip",18
"actor",17
"advanc",17
"almost",17
"avail",17
"busi",17
"came",17
"cell",17
"close",17
"commerci",17
"communiti",17
"debat",17
"ever",17
"fast",17
"follow",17
"forward",17
"hundr",17
"includ",17
"incr",17
"insid",17
"intellig",17
"low",17
"lower",17
"lyft",17
"manag",17
"scenario",17
"sensor",17
"seri",17
"track",17
"truck",17
"vessel",17
"address",16
"cetera",16
"cheap",16
"combin",16
"excit",16
"goal",16
"goe",16
"guess",16
"head",16
"highway",16
"less",16
"life",16
"limit",16
"mark",16
"phone",16
"pull",16
"reduc",16
"safe",16
"shift",16
"similar",16
"smaller",16
"societi",16
"walk",16
"went",16
"white",16
"accel",15
"airport",15
"along",15
"bigger",15
"capabl",15
"care",15
"clear",15
"concern",15
"custom",15
"deliv",15
"energi",15
"everybodi",15
"explor",15
"hear",15
"individu",15
"larger",15
"mention",15
"meter",15
"network",15
"night",15
"one",15
"past",15
"posit",15
"pound",15
"realiti",15
"result",15
"right",15
"standard",15
"student",15
"stuff",15
"total",15
"train",15
"vertic",15
"view",15
"associ",14
"atmosph",14
"attack",14
"avoid",14
"charg",14
"coordin",14
"countri",14
"definit",14
"discuss",14
"distanc",14
"door",14
"essenti",14
"facil",14
"final",14
"game",14
"half",14
"home",14
"light",14
"listen",14
"major",14
"object",14
"obvious",14
"outcom",14
"planet",14
"program",14
"protect",14
"situat",14
"social",14
"special",14
"spend",14
"stay",14
"step",14
"univ",14
"user",14
"whatev",14
"word",14
"yes",14
"addit",13
"aerial",13
"anyth",13
"applic",13
"approach",13
"behind",13
"cheaper",13
"collect",13
"comput",13
"continu",13
"crui",13
"danger",13
"detail",13
"disrupt",13
"ear",13
"europ",13
"face",13
"facilit",13
"francisco",13
"least",13
"machin",13
"mission",13
"old",13
"physic",13
"quit",13
"readi",13
"revolut",13
"san",13
"smart",13
"structur",13
"tradit",13
"vacuum",13
"verticl",13
"wanna",13
"agenc",12
"automobil",12
"beauti",12
"break",12
"bunch",12
"carri",12
"center",12
"consum",12
"crash",12
"cuz",12
"deal",12
"destin",12
"display",12
"enjoy",12
"feet",12
"fiction",12
"form",12
"fulli",12
"haven",12
"imposs",12
"improv",12
"learn",12
"legal",12
"mar",12
"middl",12
"motiv",12
"name",12
"nasa",12
"noth",12
"onto",12
"raja",12
"sky",12
"specif",12
"stori",12
"strong",12
"superson",12
"surround",12
"toy",12
"uniqu",12
"unman",12
"well",12
"action",11
"afford",11
"agr",11
"appli",11
"attent",11
"automot",11
"condit",11
"content",11
"decid",11
"depend",11
"devic",11
"difficult",11
"either",11
"emerg",11
"entir",11
"episod",11
"fall",11
"found",11
"global",11
"googl",11
"integr",11
"kill",11
"left",11
"locat",11
"loop",11
"manufactur",11
"margin",11
"mass",11
"million",11
"mind",11
"offer",11
"organ",11
"perspect",11
"platform",11
"purpo",11
"rai",11
"rail",11
"rather",11
"realm",11
"relat",11
"rememb",11
"roll",11
"seleta",11
"sinc",11
"sudden",11
"super",11
"third",11
"town",11
"transform",11
"wind",11
"wouldn",11
"zoox",11
"abil",10
"aerodyn",10
"ahead",10
"angel",10
"aspect",10
"awar",10
"climat",10
"consid",10
"counter",10
"cross",10
"demand",10
"econom",10
"equiti",10
"fleet",10
"folk",10
"given",10
"group",10
"grow",10
"imag",10
"instal",10
"internet",10
"isn",10
"join",10
"jump",10
"later",10
"lead",10
"los",10
"matter",10
"moment",10
"partner",10
"present",10
"propul",10
"prototyp",10
"relea",10
"respon",10
"robin",10
"role",10
"rout",10
"rule",10
"serv",10
"sever",10
"ship",10
"short",10
"size",10
"skill",10
"slide",10
