"","V1"
"0001445305-13-000492_Business.txt",3
"0001445305-13-000492_Risk.txt",4
"0001463101-14-000007_Business.txt",3
"0001463101-14-000007_Risk.txt",4
"0001463101-15-000017_Business.txt",3
"0001463101-15-000017_Risk.txt",2
"0001463101-16-000040_Business.txt",3
"0001463101-16-000040_Risk.txt",4
"0001463101-17-000024_Business.txt",3
"0001463101-17-000024_Risk.txt",4
"0001463101-18-000030_Business.txt",3
"0001463101-18-000030_Risk.txt",4
