"","x"
"tablet",1
"tackl",1
"taken",1
"talk",1
"tandem",1
"techniqu",1
"teleport",1
"tell",1
"test",1
"theoret",1
"though",1
"today",1
"togeth",1
"top",1
"toss",1
"touch",1
"tradit",1
"train",1
"trial",1
"trick",1
"trust",1
"type",1
"uncertainti",1
"unless",1
"unobserv",1
"unstructur",1
"utter",1
"valu",1
"vehicl",1
"wait",1
"wantem",1
"wasn",1
"watch",1
"whether",1
"whi",1
"whole",1
"wild",1
"wildest",1
"wire",1
"yay",1
"yeah",1
"youtub",1
